Wavelength,1,2,3,4,5,6,7,8,9,10
1.85552,0.145418,0.137387,0.167348,0.194412,0.13922,0.149292,0.170797,0.155272,0.146646,0.150316
1.86212,0.145225,0.137294,0.16742,0.194488,0.139035,0.149421,0.170586,0.155057,0.14666,0.150479
1.86871,0.145154,0.137219,0.16684,0.194149,0.139316,0.149118,0.170146,0.154787,0.14633,0.150042
1.8753,0.14523,0.137011,0.166134,0.193211,0.139092,0.149,0.169509,0.154872,0.146232,0.149983
1.8819,0.144964,0.136576,0.164939,0.192134,0.1386,0.14833,0.168286,0.154345,0.145954,0.149652
1.88849,0.144588,0.136553,0.163601,0.190619,0.138185,0.148111,0.16672,0.153852,0.145899,0.149403
1.89508,0.144514,0.136007,0.161954,0.188323,0.138095,0.147601,0.16568,0.152872,0.145294,0.149151
1.90168,0.144371,0.135608,0.160682,0.185972,0.137795,0.147,0.164069,0.152326,0.145046,0.148702
1.90827,0.144397,0.135374,0.159837,0.183424,0.13751,0.146757,0.16276,0.151505,0.144599,0.148764
1.91487,0.144007,0.135228,0.159961,0.182349,0.137414,0.146464,0.16179,0.150963,0.144665,0.148576
1.92146,0.143728,0.135191,0.159869,0.182024,0.137248,0.146665,0.16163,0.150922,0.144699,0.148128
1.92806,0.14341,0.134883,0.160025,0.182279,0.137071,0.146312,0.161352,0.150714,0.144503,0.148178
1.93465,0.142918,0.134144,0.159307,0.182345,0.136253,0.145502,0.160965,0.15028,0.143892,0.147223
1.94125,0.141589,0.13287,0.158497,0.181548,0.135403,0.144602,0.160283,0.149563,0.143075,0.146298
1.94785,0.140393,0.131412,0.157219,0.180897,0.133836,0.14328,0.159688,0.148454,0.141736,0.144565
1.95444,0.139667,0.130785,0.1569,0.181013,0.133235,0.142646,0.159241,0.148258,0.141064,0.14412
1.96104,0.140089,0.131696,0.158628,0.18282,0.134111,0.143548,0.160252,0.149213,0.141957,0.144589
1.96764,0.141397,0.132847,0.159641,0.184828,0.134731,0.144598,0.161529,0.150485,0.143121,0.146058
1.97424,0.142047,0.133115,0.160576,0.185468,0.135484,0.145236,0.162083,0.15137,0.143498,0.146551
1.98084,0.14179,0.133333,0.16104,0.185961,0.135452,0.145164,0.162186,0.151279,0.143862,0.146787
1.98743,0.141683,0.132875,0.161003,0.186099,0.13542,0.145056,0.161995,0.15109,0.143827,0.146581
1.99403,0.141922,0.133021,0.161139,0.186984,0.135303,0.145049,0.162435,0.151375,0.143897,0.146782
2.00063,0.142036,0.133138,0.160758,0.187086,0.135267,0.144945,0.162499,0.151314,0.143593,0.146648
2.00723,0.141596,0.132889,0.160575,0.18633,0.135265,0.144733,0.16211,0.151035,0.143268,0.146015
